anio_epi,baseline,semana_inicio,semana_peak,consultas_peak
2015,108743.31362222509,16,33,171096
2016,104142.95943167154,19,26,162542
2017,100580.55322790217,12,23,181754
2018,97611.55916197979,11,33,144924
2019,95097.91376242138,12,21,165495
2020,93053.28503487623,NA,12,103314
2021,91235.1597344623,NA,46,47697
2022,94253.57861506166,19,44,161522
2023,92638.92175531591,11,20,189297
2024,91428.59334012622,11,20,203353
2025,90460.28014018845,12,21,139705
2026,89365.34364136832,11,23,150029
